epoch,accuracy,loss
0,0.8870431780815125,0.08966299146413803
1,0.9464747309684753,0.04534812644124031
2,0.9675157070159912,0.031073104590177536
3,0.9769287705421448,0.022967427968978882
4,0.9856035709381104,0.01569376513361931
5,0.9894795417785645,0.011954578571021557
6,0.9942783117294312,0.007741204928606749
7,0.9963086247444153,0.005827451590448618
8,0.9976006150245667,0.004302057903259993
9,0.9987080097198486,0.0026494860649108887
10,0.998892605304718,0.0018973759142681956
11,0.999261736869812,0.0012496111448854208
12,0.9998154044151306,0.0008360595675185323
13,1.0,0.0004905160167254508
14,1.0,0.00034592970041558146
15,0.9998154044151306,0.00022011084365658462
16,1.0,0.00010107808338943869
17,1.0,7.233233918668702e-05
18,1.0,2.165185105695855e-05
19,1.0,1.1169891877216287e-05
20,1.0,6.207816113601439e-06
21,1.0,3.8824609873699956e-06
22,1.0,1.8703666455621715e-06
23,1.0,1.1112671245427919e-06
24,1.0,8.204632422348368e-07
25,1.0,5.902180078010133e-07
26,1.0,4.809003257832956e-07
27,1.0,4.061071763317159e-07
28,1.0,3.543066497968539e-07
29,1.0,3.151471617002244e-07
30,1.0,2.8602440238501003e-07
31,1.0,2.6933233243653376e-07
32,1.0,2.494029729405156e-07
33,1.0,2.2863254400817823e-07
34,1.0,2.1647652204137557e-07
35,1.0,2.0355781771286274e-07
36,1.0,1.9297887376978906e-07
37,1.0,1.8593301831515419e-07
38,1.0,1.7832779519721953e-07
39,1.0,1.7293437792886834e-07
