epoch,accuracy,loss
0,0.6927890181541443,0.21985696256160736
1,0.8599523305892944,0.11931750923395157
2,0.9013707041740417,0.08885858207941055
3,0.9261025190353394,0.07063420116901398
4,0.9466626644134521,0.05571327731013298
5,0.9642431735992432,0.04124903678894043
6,0.9705005884170532,0.03211274370551109
7,0.9824195504188538,0.023434467613697052
8,0.9877830743789673,0.01796405203640461
9,0.991358757019043,0.013981176540255547
10,0.9949344396591187,0.010001147165894508
11,0.9970202445983887,0.0065856808796525
12,0.9982121586799622,0.004865380469709635
13,0.9982121586799622,0.0034255385398864746
14,0.9991060495376587,0.002383594401180744
15,0.9994040727615356,0.001597658614628017
16,0.9997020363807678,0.001291037886403501
17,0.9997020363807678,0.0007945162942633033
18,0.9997020363807678,0.0005025192513130605
19,0.9997020363807678,0.0003880841250065714
20,0.9997020363807678,0.00035464446409605443
21,0.9997020363807678,0.00019530797726474702
22,1.0,0.00011098603863501921
23,1.0,0.00011398586502764374
24,1.0,8.273837738670409e-05
25,1.0,6.05061613896396e-05
26,1.0,4.7104742407100275e-05
27,1.0,3.886903868988156e-05
28,1.0,3.2110045140143484e-05
29,1.0,2.843826041498687e-05
30,1.0,2.5128130801022053e-05
31,1.0,2.3066928406478837e-05
32,1.0,2.120518547599204e-05
33,1.0,1.9629014786914922e-05
34,1.0,1.8212136637885123e-05
35,1.0,1.757640166033525e-05
36,1.0,1.6894713553483598e-05
37,1.0,1.587847145856358e-05
38,1.0,1.5610799891874194e-05
39,1.0,1.4867170648358297e-05
