epoch,accuracy,loss
0,0.46781882643699646,0.31617650389671326
1,0.48599523305892944,0.31014904379844666
2,0.4830155074596405,0.3077535033226013
3,0.48152562975883484,0.3038361072540283
4,0.49046483635902405,0.3001049757003784
5,0.4991060793399811,0.30016565322875977
6,0.5,0.2971806228160858
7,0.5113229751586914,0.29003652930259705
8,0.5205602049827576,0.28402087092399597
9,0.5303933024406433,0.2776382565498352
10,0.5607866644859314,0.26891615986824036
11,0.5849225521087646,0.25861307978630066
12,0.5950536131858826,0.2496095597743988
13,0.6132300496101379,0.23890049755573273
14,0.6507747173309326,0.22659926116466522
15,0.6698450446128845,0.21418330073356628
16,0.6871275305747986,0.19946947693824768
17,0.7169249057769775,0.18723417818546295
18,0.7312276363372803,0.17496584355831146
19,0.758641242980957,0.16122929751873016
20,0.7908223867416382,0.14779746532440186
21,0.80572110414505,0.13695111870765686
22,0.8325387239456177,0.12504439055919647
23,0.8498212099075317,0.11453326046466827
24,0.858760416507721,0.10365863889455795
25,0.8733611702919006,0.09643010050058365
26,0.8885577917098999,0.08904781937599182
27,0.9016686677932739,0.08202598243951797
28,0.9117997884750366,0.07507253438234329
29,0.9168652892112732,0.06833312660455704
30,0.923122763633728,0.06320703029632568
31,0.9329559206962585,0.058535438030958176
32,0.9389153718948364,0.0543089434504509
33,0.9401072859764099,0.05050984397530556
34,0.9466626644134521,0.04769548773765564
35,0.9469606876373291,0.04408087581396103
36,0.9517282247543335,0.042202237993478775
37,0.9561978578567505,0.0391995795071125
38,0.959475576877594,0.0374184250831604
39,0.959475576877594,0.035842232406139374
