epoch,accuracy,loss
0,0.43009260296821594,0.3523278534412384
1,0.6226851940155029,0.26324447989463806
2,0.7222222089767456,0.20781831443309784
3,0.779629647731781,0.16993170976638794
4,0.8476851582527161,0.13445238769054413
5,0.8879629373550415,0.10376941412687302
6,0.9259259104728699,0.07837560772895813
7,0.9509259462356567,0.056483760476112366
8,0.9708333611488342,0.036169927567243576
9,0.9819444417953491,0.02130996063351631
10,0.9902777671813965,0.012002955190837383
11,0.9944444298744202,0.006689837202429771
12,0.9967592358589172,0.004004104062914848
13,0.9986110925674438,0.0025294385850429535
14,0.9981481432914734,0.001655170926824212
15,0.9976851940155029,0.0012674367753788829
16,0.9976851940155029,0.0010241653071716428
17,0.9981481432914734,0.0009219094645231962
18,0.9976851940155029,0.0007873245049268007
19,0.9986110925674438,0.000667122658342123
20,0.9976851940155029,0.0007652498316019773
21,0.9995370507240295,0.0006284608389250934
22,0.9995370507240295,0.0005676099681295455
23,0.9995370507240295,0.000537166022695601
24,0.9995370507240295,0.0004346540372353047
25,0.9995370507240295,0.0004466085520107299
26,1.0,0.0003486687783151865
27,1.0,0.00034511720878072083
28,1.0,0.00029796629678457975
29,1.0,0.00031076103914529085
30,1.0,0.0002493768697604537
31,1.0,0.00025830298545770347
32,1.0,0.0002215783897554502
33,1.0,0.00022054312285035849
34,1.0,0.00020164740271866322
35,1.0,0.00019727283506654203
36,1.0,0.00018273640307597816
37,1.0,0.00018078883294947445
38,1.0,0.00016922614304348826
39,1.0,0.00016171898460015655
