epoch,accuracy,loss
0,0.854629635810852,0.10990925133228302
1,0.9990741014480591,0.004708456341177225
2,1.0,0.0018714646575972438
3,1.0,0.0002538451226428151
4,1.0,0.00011251912656007335
5,1.0,2.6343404897488654e-05
6,1.0,3.5083362490695436e-06
7,1.0,3.5839937595483207e-07
8,1.0,1.703633856209308e-08
9,1.0,3.255988145767219e-09
10,1.0,0.0
11,1.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
