epoch,accuracy,loss
0,0.9715762138366699,0.022809438407421112
1,0.9929863214492798,0.005914411507546902
2,0.9972314238548279,0.0031982886139303446
3,0.9976006150245667,0.002216882072389126
4,0.9981542825698853,0.0015354284550994635
5,0.9987080097198486,0.0013046814128756523
6,0.999261736869812,0.0006758980453014374
7,0.9994462728500366,0.0005461647524498403
8,0.999261736869812,0.0005958328256383538
9,0.999630868434906,0.00038410365232266486
10,0.9994462728500366,0.00026517119840718806
11,0.9998154044151306,0.00019326632900629193
12,1.0,0.00013080291682854295
13,1.0,9.332484478363767e-05
14,1.0,4.8501809942536056e-05
15,1.0,1.7449570805183612e-05
16,1.0,1.1105074008810334e-05
17,1.0,7.1836448114481755e-06
18,1.0,3.9808919609640725e-06
19,1.0,2.9537850423366763e-06
20,1.0,1.2071825494786026e-06
21,1.0,1.8586247279017698e-06
22,1.0,7.068181844260835e-07
23,1.0,6.264879743866913e-07
24,1.0,5.343968609849981e-07
25,1.0,3.3577677527318883e-07
26,1.0,3.0361354674823815e-07
27,1.0,2.56281396104896e-07
28,1.0,1.7987576939049177e-07
29,1.0,1.7267265661757847e-07
30,1.0,1.488695460238887e-07
31,1.0,1.404660707748917e-07
32,1.0,1.2450054498458485e-07
33,1.0,1.1084870266131475e-07
34,1.0,1.0444665576869738e-07
35,1.0,9.773822284842026e-08
36,1.0,9.60900194968417e-08
37,1.0,8.77291483902809e-08
38,1.0,8.419221586564163e-08
39,1.0,8.131436146641136e-08
