epoch,accuracy,loss
0,0.6194444298744202,0.25828638672828674
1,0.8476851582527161,0.13608019053936005
2,0.9134259223937988,0.09007507562637329
3,0.9592592716217041,0.057113733142614365
4,0.9828703999519348,0.03449488431215286
5,0.9916666746139526,0.020992351695895195
6,0.9958333373069763,0.012232908979058266
7,0.9990741014480591,0.007767419330775738
8,0.9990741014480591,0.004384168889373541
9,0.9995370507240295,0.0028891011606901884
10,0.9995370507240295,0.001660916837863624
11,1.0,0.0009531756513752043
12,1.0,0.0005561670404858887
13,1.0,0.000380845507606864
14,1.0,0.0001399635657435283
15,1.0,4.514642205322161e-05
16,1.0,1.5568051821901463e-05
17,1.0,8.17363070382271e-06
18,1.0,4.307611561671365e-06
19,1.0,2.7853554911416722e-06
20,1.0,2.167009370168671e-06
21,1.0,1.7496514601589297e-06
22,1.0,1.3832712966177496e-06
23,1.0,1.2275380640858202e-06
24,1.0,1.0233346756649553e-06
25,1.0,9.237778044735023e-07
26,1.0,8.424348720836861e-07
27,1.0,7.786906053297571e-07
28,1.0,7.155946377679356e-07
29,1.0,6.733981194884109e-07
30,1.0,6.416618134608143e-07
31,1.0,6.091320869927586e-07
32,1.0,5.805319460705505e-07
33,1.0,5.676114938069077e-07
34,1.0,5.466893640004855e-07
35,1.0,5.30571185208828e-07
36,1.0,5.172952910470485e-07
37,1.0,5.050729328104353e-07
38,1.0,4.963372361999063e-07
39,1.0,4.873524517279293e-07
