epoch,accuracy,loss
0,0.6550925970077515,0.22960960865020752
1,0.8888888955116272,0.1015947237610817
2,0.9555555582046509,0.059444308280944824
3,0.9842592477798462,0.03306014835834503
4,0.9935185313224792,0.018842123448848724
5,0.9967592358589172,0.010059813968837261
6,0.9995370507240295,0.006258868612349033
7,0.9995370507240295,0.0035562897101044655
8,0.9995370507240295,0.0024193853605538607
9,0.9995370507240295,0.0011289868270978332
10,0.9995370507240295,0.0008937711827456951
11,1.0,0.0005612975219264627
12,1.0,0.0002288627583766356
13,1.0,8.14196391729638e-05
14,1.0,8.569400233682245e-05
15,1.0,4.479163544601761e-05
16,1.0,2.3202848751679994e-05
17,1.0,3.9480883060605265e-06
18,1.0,1.8065416043100413e-06
19,1.0,1.2126786259614164e-06
20,1.0,6.787742563574284e-07
21,1.0,4.4915549324286985e-07
22,1.0,3.5309156487528526e-07
23,1.0,2.854009721886541e-07
24,1.0,2.2449277992109273e-07
25,1.0,1.8857335248867457e-07
26,1.0,1.6804091274025268e-07
27,1.0,1.5117876728254487e-07
28,1.0,1.354074896653401e-07
29,1.0,1.3273454158024833e-07
30,1.0,1.2050887221448647e-07
31,1.0,1.1273073141637724e-07
32,1.0,1.0348598777909501e-07
33,1.0,9.768616848759848e-08
34,1.0,9.432132230813295e-08
35,1.0,9.089802688322379e-08
36,1.0,8.747026924993406e-08
37,1.0,8.364310843944622e-08
38,1.0,8.125798700575615e-08
39,1.0,7.90085721291689e-08
