epoch,accuracy,loss
0,0.9523147940635681,0.04245125502347946
1,1.0,0.00019705278100445867
2,1.0,7.577679298265139e-06
3,1.0,1.8772219334550755e-08
4,1.0,7.2118727656445e-11
5,1.0,9.599302255858255e-12
6,1.0,2.411741596361483e-12
7,1.0,7.294198339953539e-13
8,1.0,2.588085995514078e-13
9,1.0,1.0614060764200031e-13
10,1.0,4.9068567812464783e-14
11,1.0,2.4421616665786308e-14
12,1.0,1.3832556248431077e-14
13,1.0,7.745244705737852e-15
14,1.0,5.0412347466801104e-15
15,1.0,3.506660073941811e-15
16,1.0,2.7385500568226405e-15
17,1.0,2.1382074086431562e-15
18,1.0,1.5164823666223028e-15
19,1.0,1.245094598508801e-15
20,1.0,1.1085782983998255e-15
21,1.0,9.506798162077176e-16
22,1.0,9.292977400037036e-16
23,1.0,6.743577105995451e-16
24,1.0,6.529756343955312e-16
25,1.0,7.385038862720277e-16
26,1.0,5.740264462390364e-16
27,1.0,5.921189641132699e-16
28,1.0,5.740264462390364e-16
29,1.0,5.592234337550243e-16
30,1.0,4.621817277242961e-16
31,1.0,5.016563218025434e-16
32,1.0,4.802742455985295e-16
33,1.0,5.559338754252438e-16
34,1.0,5.345518521607891e-16
35,1.0,5.345518521607891e-16
36,1.0,4.802742455985295e-16
37,1.0,4.802742455985295e-16
38,1.0,4.2928622383583005e-16
39,1.0,4.2928622383583005e-16
